CustomerID,Lookalikes
C0001,"[('C0091', 0.8844930227008998), ('C0190', 0.8804322347005442), ('C0048', 0.8777645100753281)]"
C0002,"[('C0159', 0.9556515792047455), ('C0134', 0.9541342991801967), ('C0106', 0.9394708795376739)]"
C0003,"[('C0031', 0.988181468875965), ('C0158', 0.9750404903706031), ('C0133', 0.8872954977425741)]"
C0004,"[('C0113', 0.9345575227770619), ('C0012', 0.9069339718201764), ('C0104', 0.8731530373802027)]"
C0005,"[('C0007', 0.9947758867460879), ('C0140', 0.9502016799998673), ('C0146', 0.9462514812365712)]"
C0006,"[('C0187', 0.8595937672176825), ('C0169', 0.8340964981641921), ('C0153', 0.7830198517664302)]"
C0007,"[('C0005', 0.9947758867460879), ('C0146', 0.9482769577537193), ('C0140', 0.9404037000591462)]"
C0008,"[('C0059', 0.9029597572777076), ('C0154', 0.8142204541824266), ('C0065', 0.7913469304164652)]"
C0009,"[('C0198', 0.9603356993535047), ('C0061', 0.8970802118798981), ('C0010', 0.8821922682932799)]"
C0010,"[('C0061', 0.9653300269665003), ('C0009', 0.8821922682932799), ('C0111', 0.867312476874638)]"
C0011,"[('C0126', 0.9667636346569609), ('C0153', 0.9065419893656016), ('C0191', 0.9013243505576947)]"
C0012,"[('C0104', 0.9630119585093573), ('C0113', 0.9237000818778459), ('C0152', 0.9189942325087915)]"
C0013,"[('C0107', 0.8758813752780683), ('C0102', 0.8677387199373576), ('C0188', 0.8520447264615943)]"
C0014,"[('C0060', 0.9994659937370238), ('C0167', 0.8728113154501487), ('C0089', 0.848270369715522)]"
C0015,"[('C0036', 0.9429571714018747), ('C0131', 0.940349126839225), ('C0144', 0.9048315127533695)]"
C0016,"[('C0183', 0.9999891744688924), ('C0072', 0.9191019527027874), ('C0067', 0.8948762184637002)]"
C0017,"[('C0075', 0.9523846344951108), ('C0041', 0.9222913118476888), ('C0081', 0.8636840681265896)]"
C0018,"[('C0125', 0.8407825623340266), ('C0035', 0.8292743944272766), ('C0122', 0.8196014430106323)]"
C0019,"[('C0070', 0.9366092897725582), ('C0064', 0.8438966224728409), ('C0023', 0.8437876242627819)]"
C0020,"[('C0058', 0.9292100648631955), ('C0033', 0.9274486950391287), ('C0050', 0.8591111974312897)]"
